Author: file,date
Scott Alexander-Bown: app/src/main/res/drawable-xxhdpi/ic_action_github.png,2015-06-29T13:06:14Z
Matthew Rollings: rootbeerlib/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2015-06-26T16:00:20Z
Matthew Rollings: app/src/main/res/mipmap-hdpi/ic_launcher.png,2015-06-26T15:59:58Z
Matthew Rollings: app/src/main/res/mipmap-mdpi/ic_launcher.png,2015-06-26T15:59:58Z
Matthew Rollings: app/src/main/res/mipmap-xhdpi/ic_launcher.png,2015-06-26T15:59:58Z
Matthew Rollings: app/src/main/res/mipmap-xxhdpi/ic_launcher.png,2015-06-26T15:59:58Z
Matthew Rollings: app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,2015-06-26T15:59:58Z
Scott Alexander-Bown: app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2015-06-26T15:50:40Z
Scott Alexander-Bown: rootbeerlib/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,2015-06-26T15:50:40Z
Scott Alexander-Bown: rootbeerlib/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2015-06-26T15:50:40Z
Scott Alexander-Bown: rootbeerlib/src/main/res/values/strings.xml,2015-06-26T15:50:40Z
Matthew Rollings: app/src/main/java/com/scottyab/rootchecker/RootCheck.java,2015-06-19T10:09:22Z
Matthew Rollings: app/src/main/java/com/scottyab/rootchecker/Const.java,2015-06-26T14:32:45Z
Matthew Rollings: app/src/main/java/com/scottyab/rootchecker/MainActivity.java,2015-06-19T10:09:22Z
Scott Alexander-Bown: app/src/main/java/com/scottyab/rootchecker/MainActivity.java,2015-06-19T09:05:10Z
Scott Alexander-Bown: app/src/main/java/com/scottyab/rootchecker/RootCheck.java,2015-06-19T09:05:10Z
Scott Alexander-Bown: app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,2015-06-19T17:21:37Z
Scott Alexander-Bown: app/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2015-06-19T17:21:37Z
Scott Alexander-Bown: app/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2015-06-19T17:21:37Z
Matthew Rollings: app/src/main/java/com/scottyab/rootchecker/RootCheckNative.java,2015-06-19T10:09:22Z
Matthew Rollings: app/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2015-06-19T11:06:02Z
Matthew Rollings: app/src/main/jniLibs/armeabi-v7a/libroot-checker.so,2015-06-19T10:09:22Z
Scott Alexander-Bown: app/src/androidTest/java/com/scottyab/rootchecker/ApplicationTest.java,2015-06-19T09:05:10Z
Scott Alexander-Bown: app/src/main/java/com/scottyab/rootchecker/util/QLog.java,2015-06-19T09:05:10Z
Scott Alexander-Bown: app/src/main/res/values/styles.xml,2015-06-19T09:05:10Z
